date,dollar_price
26.03.2021,75.6633
25.03.2021,76.187
24.03.2021,76.5795
23.03.2021,76.3799
22.03.2021,74.9227
19.03.2021,74.1213
18.03.2021,74.3129
17.03.2021,73.6311
16.03.2021,72.8728
15.03.2021,72.817
12.03.2021,73.3335
11.03.2021,73.3037
10.03.2021,73.6031
09.03.2021,73.9083
08.03.2021,74.0685
05.03.2021,74.2287
04.03.2021,74.703
03.03.2021,73.9755
02.03.2021,73.8165
01.03.2021,74.1739
26.02.2021,74.6196
25.02.2021,74.7301
24.02.2021,73.5305
23.02.2021,73.92175
22.02.2021,74.313
19.02.2021,74.1116
18.02.2021,73.9036
17.02.2021,73.7194
16.02.2021,73.6533
15.02.2021,73.3225
12.02.2021,73.7114
11.02.2021,73.6155
10.02.2021,73.9408
09.02.2021,73.8836
08.02.2021,74.3034
05.02.2021,74.6528
04.02.2021,75.5065
03.02.2021,75.9423
02.02.2021,76.224
01.02.2021,76.1354
29.01.2021,75.7404
28.01.2021,75.9592
27.01.2021,75.8464
26.01.2021,75.0963
25.01.2021,75.346
22.01.2021,75.2899
21.01.2021,73.834
20.01.2021,73.5241
19.01.2021,73.6709
18.01.2021,74.0232
15.01.2021,73.6309
14.01.2021,73.2179
13.01.2021,73.7649
12.01.2021,73.5369
11.01.2021,74.6691
08.01.2021,74.1636
07.01.2021,74.04285
06.01.2021,73.9221
05.01.2021,74.0283
04.01.2021,74.3051
01.01.2021,74.3586
31.12.2020,74.3586
30.12.2020,74.4121
29.12.2020,74.0354
25.12.2020,74.1956
24.12.2020,73.8873
23.12.2020,75.0744
22.12.2020,75.8958
21.12.2020,74.8058
18.12.2020,73.3477
17.12.2020,72.862
16.12.2020,73.3497
15.12.2020,73.3824
14.12.2020,73.8683
11.12.2020,72.9572
10.12.2020,73.0484
09.12.2020,73.8723
08.12.2020,73.5166
07.12.2020,73.6484
04.12.2020,74.0634
03.12.2020,74.4431
02.12.2020,75.0718
01.12.2020,75.8453
30.11.2020,76.4033
27.11.2020,75.8605
26.11.2020,75.7072
25.11.2020,75.5406
24.11.2020,75.4715
23.11.2020,76.1755
20.11.2020,76.1924
19.11.2020,76.0553
18.11.2020,76.0511
17.11.2020,76.2305
16.11.2020,76.1698
13.11.2020,77.4023
12.11.2020,77.3496
11.11.2020,77.1139
10.11.2020,76.57
09.11.2020,76.3064
06.11.2020,77.4158
05.11.2020,77.0264
04.11.2020,78.1908
03.11.2020,79.3552
02.11.2020,80.5386
30.10.2020,79.5257
29.10.2020,78.8685
28.10.2020,79.2242
27.10.2020,77.3059
26.10.2020,76.495
23.10.2020,76.1235
22.10.2020,76.6168
21.10.2020,76.7229
20.10.2020,77.3423
19.10.2020,77.65
16.10.2020,77.8938
15.10.2020,78.0885
14.10.2020,77.6328
13.10.2020,77.0491
12.10.2020,77.1449
09.10.2020,76.7675
08.10.2020,77.3714
07.10.2020,78.032
06.10.2020,78.449
05.10.2020,78.1055
02.10.2020,78.1851
01.10.2020,77.3346
